,,,count,mean,mean,mean,sum,sum,sum,Transport
,,,Severity,Distance(mi),Duration_Time,Severity,Distance(mi),Duration_Time,Severity,Transport
State,year,month,,,,,,,,
AR,18,8,35,1.9558571122723996,40.67714285714284,2.8285714285714287,68.45499892953399,1423.6999999999994,99,3114.0
AR,18,9,67,1.054776129224925,43.04875621890546,3.014925373134328,70.67000065806997,2884.266666666666,202,2705.0
AR,18,10,64,0.6161093758939064,34.517447916666676,2.828125,39.43100005721001,2209.1166666666672,181,2941.0
AR,18,11,95,1.1557263216749685,35.92859649122808,3.0631578947368423,109.794000559122,3413.2166666666676,291,2606.0
AR,18,12,80,0.7826999985694998,31.65729166666668,2.6625,62.61599988555999,2532.5833333333344,213,3093.0
AR,19,1,85,0.7342941177031533,30.031568627450987,2.776470588235294,62.41500000476803,2552.683333333334,236,3152.0
AR,19,2,112,0.6707053571428572,32.85252976190476,2.6160714285714284,75.119,3679.4833333333336,293,2120.0
AR,19,3,65,1.550661539635231,40.5248717948718,2.9076923076923076,100.79300007629001,2634.116666666667,189,3408.0
AR,19,4,107,0.6043551371566352,36.95171339563863,2.532710280373832,64.66599967575998,3953.833333333333,271,2985.0
AR,19,5,113,1.343530984802832,44.148967551622405,2.6814159292035398,151.81900128272002,4988.833333333332,303,3172.0
AR,19,6,104,0.7260384523688462,36.1496794871795,2.625,75.50799904636001,3759.566666666668,273,3216.0
AR,19,7,81,0.6732839535607409,35.82016460905349,2.5308641975308643,54.53600023842001,2901.433333333333,205,3392.0
AR,19,8,50,0.5279000001908001,39.86533333333333,2.76,26.395000009540006,1993.2666666666667,138,3128.0
AR,19,9,65,0.8498615367009231,35.605641025641006,2.6153846153846154,55.24099988556,2314.3666666666654,170,2800.0
AR,19,10,96,0.834895835419479,39.72690972222222,2.5520833333333335,80.15000020026999,3813.783333333333,245,2998.0
AR,19,11,53,1.305981135313962,63.228930817610085,2.3962264150943398,69.21700017164,3351.1333333333346,127,2728.0
AR,19,12,60,0.9367500008741669,41.42777777777777,2.7333333333333334,56.20500005245002,2485.666666666666,164,3348.0
AR,20,1,50,1.3221199969481996,40.07433333333332,2.58,66.10599984740998,2003.716666666666,129,3295.0
AR,20,2,24,1.2397499618541665,59.50347222222225,2.875,29.7539990845,1428.083333333334,69,2272.0
AR,20,3,49,0.7929387599402044,54.9938775510204,2.5714285714285716,38.85399923707001,2694.6999999999994,126,2912.0
AR,20,4,35,0.39600000047682854,45.20666666666667,2.8,13.860000016689,1582.2333333333336,98,2220.0
AR,20,5,33,1.0452727399878787,55.324242424242435,2.606060606060606,34.4940004196,1825.7000000000003,86,2693.0
AR,20,6,72,0.4591944406030556,54.00787037037038,2.2222222222222223,33.06199972342,3888.566666666667,160,
AZ,16,6,123,2.5549512195121946,362.89701897018966,2.4715447154471546,314.25899999999996,44636.33333333333,304,6068.0
AZ,16,7,416,1.1163918269230768,361.8467948717949,2.485576923076923,464.4189999999999,150528.26666666666,1034,5151.0
AZ,16,8,451,0.9918580931263862,363.3410199556541,2.388026607538803,447.32800000000015,163866.8,1077,4764.0
AZ,16,9,377,1.1437188328912467,359.79367816091957,2.413793103448276,431.182,135642.21666666667,910,4918.0
AZ,16,10,491,1.0683482688391037,361.194738628649,2.4908350305498983,524.559,177346.61666666667,1223,5380.0
